id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
PsQJm6lG3s,On Regularization and Inference with Label Constraints,3,False,,,,,,high,"The paper compares regularization with label constraints and constrained inference in structured prediction, focusing on generalization gap and bias. It has no connection to frontier AI safety, alignment, or catastrophic risk, and its primary goal is improving model performance and complexity."
LctoTBcGUf,Optimistic Planning by Regularized Dynamic Programming,3,False,,,,,,high,"The paper proposes a new algorithm for optimistic planning in MDPs using regularized dynamic programming, focusing on theoretical guarantees and near-optimal statistical performance. There is no connection to AI safety, alignment, interpretability, or any safety-related motivation, so it belongs to Class 3 (General Capabilities)."
4IzEmHLono,Learning Belief Representations for Partially Observable Deep RL,3,False,,,,,,high,"The paper proposes a deep RL algorithm for partially observable environments using belief state modeling, with the primary goal of improving policy learning and performance. There is no mention of safety, alignment, or frontier AI concerns, so it belongs in Class 3 (General Capabilities)."
qorOnDor89,On the Role of Attention in Prompt-tuning,3,False,,,,,,high,"The paper provides theoretical analysis of prompt-tuning in one-layer attention models, focusing on expressiveness, learning dynamics, and sample complexity. There is no mention of safety, alignment, or frontier AI safety concerns; the work is purely about understanding and improving model capabilities. Therefore, it belongs in Class 3 (General Capabilities)."
MtopPVk3Ll,H-Likelihood Approach to Deep Neural Networks  with Temporal-Spatial Random Effects for High-Cardinality Categorical Features,3,False,,,,,,high,"The paper proposes a statistical method (h-likelihood) for deep neural networks to handle temporal-spatial correlated data with high-cardinality categorical features, focusing solely on improving prediction and estimation. There is no connection to ethics, fairness, interpretability, or any form of AI safety, making it a general capabilities paper."
HiX1ybkFMl,Unsupervised Out-of-Distribution Detection with Diffusion Inpainting,2,False,,,,,,high,"The paper proposes a diffusion-based method for unsupervised out-of-distribution detection on image datasets, which is a standard ML reliability problem. It does not address frontier AI safety, alignment, or model internals, so it belongs in Class 2 as a contribution to model reliability and robustness in narrow domains."
uIOw2ZE1U8,On Enhancing Expressive Power via Compositions of Single Fixed-Size ReLU Network,3,False,,,,,,high,"The paper theoretically analyzes the approximation power of repeated compositions of a fixed-size ReLU network, focusing on function approximation error rates. It does not address safety, alignment, fairness, or interpretability, placing it squarely in Class 3 (General Capabilities) as its primary goal is understanding expressive power without any safety motivation."
USiX9gmGRx,Adaptive Estimation of Graphical Models under Total Positivity,3,False,,,,,,high,"The paper presents a statistical estimation method for graphical models with total positivity constraints, focusing on theoretical error bounds and empirical performance on synthetic and financial data. There is no mention of AI safety, alignment, frontier models, or any safety-related motivation, making it a general capabilities paper."
rDMAJECBM2,Model-based Reinforcement Learning with Scalable Composite Policy Gradient Estimators,3,False,,,,,,high,"The paper focuses on improving policy gradient estimation in model-based reinforcement learning for scalability and performance, with no mention of safety, fairness, or interpretability. It applies the method to a visual MBRL algorithm (Dreamer) and evaluates on standard RL tasks, placing it firmly in Class 3 (General Capabilities)."
H21qm4xyk9,Taming graph kernels with random features,3,False,,,,,,high,"The paper introduces graph random features to efficiently approximate graph kernels, focusing on computational speed and scalability. There is no mention of AI safety, ethics, reliability, or frontier AI systems, so it is classified as a general capabilities improvement paper."
ccwSdYv1GI,Scaling Up Dataset Distillation to ImageNet-1K with Constant Memory,3,False,,,,,,high,"The paper focuses on scaling dataset distillation to ImageNet-1K by reducing memory consumption and improving soft label assignment. Its primary goal is improving efficiency and performance of a machine learning technique, with no connection to AI safety, ethics, or truthfulness."
mSslPmao9h,Towards Learning Geometric Eigen-Lengths Crucial for Fitting Tasks,3,False,,,,,,high,"The paper introduces a learning problem to discover geometric eigen-lengths crucial for fitting tasks, focusing on representation learning and task performance. There is no connection to AI safety, ethics, or reliability; it is purely about improving capabilities for a specific class of tasks."
PKrDN23Rke,Sequence Modeling with Multiresolution Convolutional Memory,3,False,,,,,,high,"This paper proposes a new neural network architecture for sequence modeling (MultiresLayer) that uses multiresolution convolution to efficiently capture long-range patterns. The abstract focuses solely on improving performance and efficiency on classification and generative tasks, with no mention of safety, fairness, interpretability, or reliability. Therefore, it is a General Capabilities paper (Class 3)."
gJboa2IOua,Polynomial Preconditioning for Gradient Methods,3,False,,,,,,high,"The paper presents a novel preconditioning technique for gradient-based optimization methods, focusing on improving convergence rates and condition numbers. It does not address AI safety, ethics, interpretability, or reliability, and its primary goal is improving optimization efficiency, which falls under general capabilities (Class 3)."
