id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
xzqLpqRzxLq,IEPT: Instance-Level and Episode-Level Pretext Tasks for Few-Shot Learning,3,False,,,,,,high,"The paper proposes a method to improve few-shot learning by integrating self-supervised learning tasks. It focuses solely on enhancing performance and generalization, with no mention of safety, ethics, fairness, or interpretability. Therefore, it belongs to Class 3 (General Capabilities)."
yFJ67zTeI2,Semi-supervised Keypoint Localization,3,False,,,,,,high,"This paper presents a semi-supervised method for keypoint localization in images, focusing on reducing annotation effort for fine-grained classification. There is no connection to AI safety, interpretability, or ethical considerations; it is purely a capabilities-oriented computer vision paper. Therefore it belongs in Class 3 (General Capabilities)."
xfmSoxdxFCG,Can a Fruit Fly Learn Word Embeddings?,3,False,,,,,,high,"This paper introduces a bio-inspired network for learning word embeddings, focusing on computational efficiency and performance on standard NLP benchmarks. There is no connection to frontier AI safety, alignment, or catastrophic risk, so it belongs in Class 3 (General Capabilities)."
zv-typ1gPxA,Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,3,False,,,,,,high,"The paper proposes a retrieval-augmented generation approach with hybrid GNN for code summarization, evaluated on a new benchmark of C functions. The goal is purely performance improvement (BLEU, ROUGE, METEOR) with no connection to AI safety, alignment, or frontier model risks. Therefore, it falls into Class 3 (General Capabilities)."
v_1Soh8QUNc,Learning Energy-Based Models by Diffusion Recovery Likelihood,3,False,,,,,,high,"The paper introduces a method for training energy-based models using diffusion recovery likelihood, focusing on improving generative performance and density estimation on high-dimensional image datasets. There is no connection to AI safety, ethics, fairness, or interpretability; the primary goal is advancing generative capabilities, placing it in Class 3 (General Capabilities)."
xHKVVHGDOEk,Influence Functions in Deep Learning Are Fragile,2,False,,,,,,high,"The paper empirically studies the fragility of influence functions for interpretability in deep neural networks, without any connection to frontier AI safety or alignment. It focuses on reliability issues of a common XAI method, placing it squarely in Class 2 (Truthfulness, Reliability & XAI) rather than safety."
xvxPuCkCNPO,Correcting experience replay for multi-agent communication,3,False,,,,,,high,"The paper addresses improving multi-agent reinforcement learning for communication by correcting experience replay to handle non-stationarity. It focuses on performance in cooperative and competitive tasks without any safety, ethics, or alignment considerations, placing it in General Capabilities (Class 3)."
wxRwhSdORKG,Learning Subgoal Representations with Slow Dynamics,3,False,,,,,,high,"The paper proposes a method for learning subgoal representations in hierarchical reinforcement learning to improve exploration and performance in continuous control tasks. There is no mention or motivation related to AI safety, ethics, fairness, reliability, or transparency; it is purely a capabilities improvement paper."
yWkP7JuHX1,Image GANs meet Differentiable Rendering for Inverse Graphics and Interpretable 3D Neural Rendering,3,False,,,,,,high,"The paper uses GANs and differentiable rendering to improve inverse graphics and 3D neural rendering, with a focus on extracting interpretable 3D properties from generative models. The primary goal is enhancing performance and controllability for computer vision tasks, with no connection to frontier AI safety, alignment, or catastrophic risk. It belongs in Class 3 (General Capabilities) as it advances generative modeling and inverse graphics without safety motivation."
yHeg4PbFHh,BUSTLE: Bottom-Up Program Synthesis Through Learning-Guided Exploration,3,False,,,,,,high,"The paper presents a method for program synthesis using learning-guided search, which is purely a capabilities improvement. There is no connection to AI safety, ethics, or reliability in frontier AI systems, so it falls under General Capabilities."
