id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
zSkYVeX7bC4,Exploring Length Generalization in Large Language Models,3,False,,,,,,high,"The paper investigates length generalization in LLMs for reasoning tasks, focusing on improving performance through scratchpad prompting and in-context learning. There is no emphasis on safety, alignment, or mitigating catastrophic risks, making it a capabilities-oriented study. It does not address interpretability, adversarial robustness, or any safety subdomain, and is distinct from ethics/truthfulness work."
zfQrX05HzBO,Grow and Merge: A Unified Framework for Continuous Categories Discovery,3,False,,,,,,high,"The paper addresses continuous category discovery, a machine learning task focused on improving classification and new category mining from streaming unlabeled data. It does not engage with AI safety, alignment, ethics, or interpretability, making it a general capabilities contribution. The methods and evaluations are purely performance-oriented, with no safety framing or relevance."
zSdz5scsnzU,Latent Planning via Expansive Tree Search,3,False,,,,,,high,"The paper introduces a latent planning method using expansive tree search to improve performance in visual control tasks. There is no mention or framing related to AI safety, alignment, or frontier model risks; it is purely a capabilities-oriented work. Therefore, it falls into Class 3 (General Capabilities)."
zbuq101sCNV,TANGO: Text-driven Photorealistic and Robust 3D Stylization via Lighting Decomposition,3,False,,,,,,high,"The paper focuses on photorealistic 3D stylization from text prompts using CLIP supervision and lighting decomposition. There is no mention of AI safety, alignment, ethics, or related topics; it is purely a capabilities-oriented graphics method, so it belongs in Class 3."
yts7fLpWY9G,Graph Neural Networks with Adaptive Readouts,3,False,,,,,,high,"The paper proposes adaptive readout functions for graph neural networks to improve performance on graph-level tasks like binding affinity prediction. It focuses purely on enhancing model effectiveness and aggregation methods without any safety, alignment, or interpretability considerations. Thus it falls under General Capabilities (Class 3)."
zqQKGaNI4lp,Consistent Interpolating Ensembles via the Manifold-Hilbert Kernel,3,False,,,,,,high,"The paper presents a theoretical machine learning method for consistent interpolating ensembles using a manifold-Hilbert kernel, with no mention of safety, alignment, ethics, or interpretability. It focuses on generalization guarantees and consistency, fitting squarely into general capabilities improvements."
zFW48MVzCKC,Multiagent Q-learning with Sub-Team Coordination,3,False,,,,,,high,"The paper proposes a new value factorization method for cooperative multiagent reinforcement learning to improve coordination and learning efficiency. There is no mention of safety, alignment, or any connection to frontier AI safety concerns, making it a pure capabilities paper. It does not fit any Class 4 subdomain criteria."
zrAUoI2JA2,u-HuBERT: Unified Mixed-Modal Speech Pretraining And Zero-Shot Transfer to Unlabeled Modality,3,False,,,,,,high,"The paper presents a self-supervised pretraining framework for audio-visual speech models aimed at improving performance and enabling zero-shot modality transfer. There is no mention of safety, alignment, ethics, or any frontier AI safety concerns; the primary goal is advancing capabilities in speech recognition."
ypXcTtbBsnZ,UniCLIP: Unified Framework for Contrastive Language-Image Pre-training,3,False,,,,,,high,"The paper proposes UniCLIP, a framework to improve contrastive vision-language pre-training by unifying inter- and intra-domain contrastive losses into a single space. The goal is entirely performance improvement on downstream tasks, with no safety, alignment, or interpretability motivation. Therefore, it belongs to Class 3 (General Capabilities)."
zAuiZpZ478l,Hierarchical Lattice Layer for Partially Monotone Neural Networks,3,False,,,,,,high,"The paper proposes a new neural network layer for partially monotone regression, focusing on improving training efficiency and handling high-dimensional inputs. It is a methodological contribution to ML capabilities with no connection to AI safety, ethics, or reliability beyond generic performance improvement. Thus, it falls under Class 3 (General Capabilities)."
ytnwPTrpl38,Generalizing Goal-Conditioned Reinforcement Learning with Variational Causal Reasoning,3,False,,,,,,high,"The paper proposes a causal graph approach to improve goal-conditioned reinforcement learning generalization. It focuses on performance and interpretability for RL agents, with no explicit safety or alignment motivation. Therefore, it belongs in Class 3 (General Capabilities)."
yoBaCtx_a3,An Algorithm for Learning Switched Linear Dynamics from Data,3,False,,,,,,high,"The paper presents an algorithm for learning switched linear dynamical systems from data, with applications to robotics and cyber-physical systems. It focuses on computational efficiency and solving an NP-hard problem using convex optimization techniques. There is no mention of AI safety, alignment, interpretability, fairness, or any safety-related concerns, placing it firmly in the 'General Capabilities' class."
zUbMHIxszNp,Micro and Macro Level Graph Modeling for Graph Variational Auto-Encoders,3,False,,,,,,high,"This paper proposes a multi-level framework for graph generation using a micro-macro training objective to improve graph quality, with no connection to AI safety, ethics, fairness, truthfulness, or interpretability. It is a pure capabilities contribution focused on improving generative model performance, so it belongs in Class 3 (General Capabilities)."
zKBbP3R86oc,Not All Bits have Equal Value: Heterogeneous Precisions via Trainable Noise,3,False,,,,,,high,"The paper focuses on improving inference efficiency through heterogeneous precision quantization, a standard model compression technique. There is no mention of AI safety, alignment, or frontier model concerns, distinguishing it clearly from Class 4. It also does not address fairness, truthfulness, or ethics, so it falls under Class 3 (General Capabilities)."
zGPeowwxWb,Deep Equilibrium Approaches to Diffusion Models,3,False,,,,,,high,"The paper presents a method to accelerate diffusion model sampling and inversion by reformulating the process as a deep equilibrium fixed-point system. The primary goal is improving computational efficiency and capability (speed, parallelization, inversion), with no stated connection to AI safety, alignment, ethics, or fairness. Therefore it belongs in Class 3 (General Capabilities)."
yoLGaLPEPo_,Hyperbolic Feature Augmentation via Distribution Estimation and Infinite Sampling on Manifolds,3,False,,,,,,high,"The paper presents a method for hyperbolic feature augmentation to improve few-shot and continual learning performance, without any connection to AI safety, alignment, or frontier model risks. The primary goal is enhancing generalization in scarce data regimes, placing it squarely in Class 3 (General Capabilities)."
zuL5OYIBgcV,Non-deep Networks,3,False,,,,,,high,"The paper proposes parallel subnetworks to reduce network depth while maintaining high performance on standard benchmarks (ImageNet, CIFAR, COCO). Although latency is relevant to safety-critical systems, the core contribution is an architectural efficiency improvement, not safety alignment or interpretability. It falls under general capabilities (Class 3) as its primary goal is improving performance/latency trade-offs."
zJNqte0b-xn,First-Order Algorithms for Min-Max Optimization in Geodesic Metric Spaces,3,False,,,,,,high,"The paper focuses on developing first-order optimization algorithms for min-max problems on Riemannian manifolds, with theoretical convergence guarantees and application to robust PCA. There is no connection to AI safety, alignment, or frontier model risks. It belongs in Class 3 as it advances general capabilities without explicit safety motivation."
z9CkpUorPI,NeuroSchedule: A Novel Effective GNN-based Scheduling Method for High-level Synthesis,3,False,,,,,,high,"The paper proposes a GNN-based scheduling method for high-level synthesis with the goal of improving runtime and solution quality. It has no connection to AI safety, ethics, interpretability, or alignment; it is purely a performance optimization for hardware design. Therefore, it belongs in Class 3 (General Capabilities)."
zAc2a6_0aHb,Posterior Collapse of a Linear Latent Variable Model,3,False,,,,,,high,"The paper analyzes posterior collapse in linear latent variable models (including linear VAEs) from a Bayesian deep learning perspective, identifying its cause as competition between likelihood and prior regularization. It does not address frontier AI safety, alignment, fairness, or interpretability; its primary goal is improving understanding of a training phenomenon in generative models, making it a General Capabilities paper."
ywxtmG1nU_6,Equivariant Graph Hierarchy-Based Neural Networks,3,False,,,,,,high,"This paper proposes Equivariant Hierarchy-based Graph Networks (EGHNs) to improve the expressivity and hierarchical modeling of physical systems through novel equivariant pooling and message passing. The work is purely focused on enhancing capability for multi-body dynamics, motion capture, and protein dynamics with no connection to AI safety, alignment, or frontier model concerns. It belongs in Class 3 as a general capabilities improvement paper."
