id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
pmlr-v97-agarwal19d,Fair Regression: Quantitative Definitions and Reduction-Based Algorithms,1,False,,,,,,high,"The paper proposes fair regression methods to ensure statistical parity and bounded group loss, focusing on standard algorithmic fairness for real-valued predictions. This is classic Ethics & Fairness work with no connection to frontier AI safety or misalignment risks."
pmlr-v97-albuquerque19a,Multi-objective training of Generative Adversarial Networks with multiple discriminators,3,False,,,,,,high,"The paper presents a method for training GANs with multiple discriminators using multi-objective optimization, focusing on improving sample quality and computational efficiency. There is no connection to frontier AI safety, ethics, or reliability; it is a capabilities-oriented contribution to generative model training."
pmlr-v97-akimoto19a,Adaptive Stochastic Natural Gradient Method for One-Shot Neural Architecture Search,3,False,,,,,,high,"This paper proposes a gradient-based optimization method for neural architecture search (NAS), aiming to improve speed, robustness, and applicability. The primary goal is enhancing performance and efficiency with no mention of safety, alignment, fairness, or interpretability, so it belongs to Class 3 (General Capabilities)."
pmlr-v97-balaji19a,Entropic GANs meet VAEs: A Statistical Approach to Compute Sample Likelihoods in GANs,3,False,,,,,,high,"The paper proposes a theoretical connection between GANs and VAEs to compute sample likelihoods, focusing purely on generative modeling and statistical inference without any connection to AI safety, fairness, or truthfulness. Therefore, it falls under Class 3 (General Capabilities)."
pmlr-v97-allen-zhu19a,A Convergence Theory for Deep Learning via Over-Parameterization,3,False,,,,,,high,"The paper proves theoretical convergence guarantees for deep neural networks trained with SGD under over-parameterization. This is a pure optimization and generalization theory result with no connection to safety, alignment, fairness, or interpretability, placing it firmly in Class 3 (General Capabilities)."
pmlr-v97-alvi19a,Asynchronous Batch Bayesian Optimisation with Improved Local Penalisation,3,False,,,,,,high,"The paper presents a method for asynchronous batch Bayesian optimisation to improve hyperparameter tuning efficiency. There is no connection to AI safety, alignment, ethics, or interpretability; it is purely a capabilities-focused optimization technique."
pmlr-v97-baranchuk19a,Learning to Route in Similarity Graphs,3,False,,,,,,high,"The paper presents a method to improve nearest neighbor search efficiency by learning routing in similarity graphs. There is no mention of AI safety, alignment, or any safety-related concepts; it is purely a performance optimization for a standard ML task. Therefore, it belongs to Class 3 (General Capabilities)."
pmlr-v97-bapst19a,Structured agents for physical construction,3,False,,,,,,high,"The paper focuses on improving performance and generalization of agents in physical construction tasks using structured representations and model-based methods. There is no mention of safety, alignment, or risk considerations, placing it squarely in Class 3 (General Capabilities)."
pmlr-v97-adel19a,TibGM: A Transferable and Information-Based Graphical Model Approach for Reinforcement Learning,3,False,,,,,,high,"This paper proposes a graphical model-based reinforcement learning framework aimed at improving transferability and generalization across tasks. There is no mention of safety, alignment, or any class 4 concerns; it is purely a capabilities-focused contribution to RL."
pmlr-v97-assran19a,Stochastic Gradient Push for Distributed Deep Learning,3,False,,,,,,high,"This paper proposes a distributed training algorithm (Stochastic Gradient Push) that combines PushSum gossip with SGD to accelerate deep learning training. It focuses on convergence guarantees and empirical performance on standard benchmarks, with no mention of safety, alignment, interpretability, or risk. It is purely a capabilities/performance improvement, placing it in Class 3."
