Paper Title,Subarea,Detailed Class,Score
Position: Open-Endedness is Essential for Artificial Superhuman Intelligence,Technical Governance & Policy,Strategy and Forecasting,3.0
Probabilistic Inference in Language Models via Twisted Sequential Monte Carlo,"Robustness, Defense & Systemic Control",Red-Teaming,4.0
HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Watermark Stealing in Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
RigorLLM: Resilient Guardrails for Large Language Models against Undesired Content,Threat Modeling & Evaluations,Safeguards,7.0
Decomposing and Editing Predictions by Modeling Model Computation,Interpretability & Understanding,Interpretability,3.0
MaxMin-RLHF: Alignment with Diverse Human Preferences,Capability Control & Unlearning,Alignment Training,5.0
"PARDEN, Can You Repeat That? Defending against Jailbreaks via Repetition","Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Observable Propagation: Uncovering Feature Vectors in Transformers,Interpretability & Understanding,Interpretability,6.0
Learning Useful Representations of Recurrent Neural Network Weight Matrices,Interpretability & Understanding,Interpretability,3.0
Towards Compositionality in Concept Learning,Interpretability & Understanding,Interpretability,3.0
Implicit meta-learning may lead language models to trust more reliable sources,Capability Control & Unlearning,Alignment Training,3.0
Model Alignment as Prospect Theoretic Optimization,Capability Control & Unlearning,Alignment Training,5.0
Robust CLIP: Unsupervised Adversarial Fine-Tuning of Vision Embeddings for Robust Large Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
AttnLRP: Attention-Aware Layer-Wise Relevance Propagation for Transformers,Interpretability & Understanding,Interpretability,4.0
GiLOT: Interpreting Generative Language Models via Optimal Transport,Interpretability & Understanding,Interpretability,3.0
Codebook Features: Sparse and Discrete Interpretability for Neural Networks,Interpretability & Understanding,Interpretability,6.0
Causality Based Front-door Defense Against Backdoor Attack on Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Characterizing Truthfulness in Large Language Model Generations with Local Intrinsic Dimension,Interpretability & Understanding,Interpretability,6.0
COLD-Attack: Jailbreaking LLMs with Stealthiness and Controllability,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
Grokking Group Multiplication with Cosets,Interpretability & Understanding,Interpretability,4.0
Position: Technical Research and Talent is Needed for Effective AI Governance,Technical Governance & Policy,Policy and Governance,3.0
Emergent Representations of Program Semantics in Language Models Trained on Programs,Interpretability & Understanding,Interpretability,4.0
Weak-to-Strong Generalization: Eliciting Strong Capabilities With Weak Supervision,Scalable Oversight & Value Learning,Scalable Oversight,5.0
ODIN: Disentangled Reward Mitigates Hacking in RLHF,Capability Control & Unlearning,Alignment Training,7.0
How do Large Language Models Navigate Conflicts between Honesty and Helpfulness?,Interpretability & Understanding,Interpretability,6.0
Linear Explanations for Individual Neurons,Interpretability & Understanding,Interpretability,3.0
Position: A Safe Harbor for AI Evaluation and Red Teaming,Technical Governance & Policy,Policy and Governance,3.0
Explorations of Self-Repair in Language Models,Interpretability & Understanding,Interpretability,4.0
How Transformers Learn Causal Structure with Gradient Descent,Interpretability & Understanding,Interpretability,4.0
AI Alignment with Changing and Influenceable Reward Functions,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Position: Enforced Amnesia as a Way to Mitigate the Potential Risk of Silent Suffering in the Conscious AI,Technical Governance & Policy,AI Welfare,5.0
Characterizing Large Language Model Geometry Helps Solve Toxicity Detection and Generation,Interpretability & Understanding,Interpretability,3.0
Position: A Roadmap to Pluralistic Alignment,Scalable Oversight & Value Learning,Scalable Oversight,4.0
Fast Adversarial Attacks on Language Models In One GPU Minute,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Assessing the Brittleness of Safety Alignment via Pruning and Low-Rank Modifications,Interpretability & Understanding,Interpretability,7.0
Do Models Explain Themselves? Counterfactual Simulatability of Natural Language Explanations,Interpretability & Understanding,Interpretability,6.0
Decoding-time Realignment of Language Models,Threat Modeling & Evaluations,Safeguards,4.0
Prompting4Debugging: Red-Teaming Text-to-Image Diffusion Models by Finding Problematic Prompts,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
On the Origins of Linear Representations in Large Language Models,Interpretability & Understanding,Interpretability,3.0
Position: Evolving AI Collectives Enhance Human Diversity and Enable Self-Regulation,Scalable Oversight & Value Learning,Multi-Agent Safety,4.0
Safety Fine-Tuning at (Almost) No Cost: A Baseline for Vision Large Language Models,Capability Control & Unlearning,Alignment Training,6.0
On Mechanistic Knowledge Localization in Text-to-Image Generative Models,Interpretability & Understanding,Interpretability,3.0
Do Large Code Models Understand Programming Concepts? Counterfactual Analysis for Code Predicates,Interpretability & Understanding,Interpretability,5.0
What needs to go right for an induction head? A mechanistic study of in-context learning circuits and their formation,Interpretability & Understanding,Interpretability,3.0
Position: An Inner Interpretability Framework for AI Inspired by Lessons from Cognitive Neuroscience,Interpretability & Understanding,Interpretability,3.0
Defense against Backdoor Attack on Pre-trained Language Models via Head Pruning and Attention Normalization,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Representation Surgery: Theory and Practice of Affine Steering,Threat Modeling & Evaluations,Safeguards,5.0
Truly No-Regret Learning in Constrained MDPs,Agent Foundations & Alignment Theory,Agent Foundations,7.0
Rewards-in-Context: Multi-objective Alignment of Foundation Models with Dynamic Preference Adjustment,Capability Control & Unlearning,Alignment Training,6.0
