id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
rkxxA24FDr,Neural Stored-program Memory,3,False,,,,,,high,"The paper proposes a new memory architecture (Neural Stored-program Memory) for neural networks to enhance their ability to learn algorithms and perform tasks like continual, few-shot, and question-answering learning. The focus is on improving general capabilities and versatility, with no explicit safety, alignment, or interpretability motivation, placing it in Class 3."
ryl3ygHYDB,Lookahead: A Far-sighted Alternative of Magnitude-based Pruning,3,False,,,,,,high,"The paper proposes a pruning method (lookahead pruning) for neural networks, aiming to improve upon magnitude-based pruning by considering multi-layer optimization. The focus is on efficiency and performance on standard vision models (VGG, ResNet), with no mention of safety, alignment, or frontier AI concerns, clearly placing it in Class 3 (General Capabilities)."
ryx6WgStPB,Hypermodels for Exploration,3,False,,,,,,high,"The paper focuses on improving exploration efficiency in reinforcement learning through hypermodels, with no mention of AI safety, alignment, or catastrophic risks. The primary goal is enhancing capabilities (performance and efficiency), not addressing safety concerns, which places it firmly in Class 3."
rylwJxrYDS,vq-wav2vec: Self-Supervised Learning of Discrete Speech Representations,3,False,,,,,,high,"The paper introduces vq-wav2vec, a self-supervised method for learning discrete speech representations, with the primary goal of improving performance on phoneme classification and speech recognition. There is no connection to AI safety, ethics, or reliability; it is purely a capabilities-focused contribution."
ryg48p4tPH,Action Semantics Network: Considering the Effects of Actions in Multiagent Systems,3,False,,,,,,high,"The paper proposes a novel network architecture (ASN) to model action semantics between agents in multiagent reinforcement learning, with the explicit goal of improving coordination and performance in tasks like StarCraft II and Neural MMO. There is no mention of safety, alignment, or risk mitigation; the focus is entirely on enhancing capabilities and efficiency. Thus it falls under Class 3 (General Capabilities), not Class 4."
ryeYpJSKwr,Meta-Learning Acquisition Functions for Transfer Learning in Bayesian Optimization,3,False,,,,,,high,"The paper proposes a meta-learning method for transfer learning in Bayesian optimization, aimed at improving data-efficiency for black-box optimization. There is no mention or connection to AI safety, alignment, or risk, making it a General Capabilities paper."
rygf-kSYwH,Behaviour Suite for Reinforcement Learning,3,False,,,,,,high,"The paper introduces a benchmark suite (bsuite) for reinforcement learning agents, focusing on evaluating core capabilities and learning algorithms. There is no explicit safety or alignment motivation, and the work is centered on general performance and efficiency in RL, making it a clear fit for Class 3 (General Capabilities)."
rylHspEKPr,Learning to Represent Programs with Property Signatures,3,False,,,,,,high,"The paper introduces property signatures to improve program synthesis via machine learning, focusing on efficiency and performance. There is no connection to frontier AI safety, ethics, or interpretability of neural networks; it is a capabilities-oriented contribution."
ryxB2lBtvH,Learning to Coordinate Manipulation Skills via Skill Behavior Diversification,3,False,,,,,,high,"The paper proposes a modular framework for coordinating multiple robot end-effectors to perform complex manipulation tasks, focusing on skill behavior diversification and efficient coordination. There is no mention of AI safety, alignment, fairness, or reliability concerns; the primary goal is improving task performance and generalization in robotics. Therefore, it belongs to Class 3 (General Capabilities)."
rygwLgrYPB,Regularizing activations in neural networks via distribution matching with the Wasserstein metric,3,False,,,,,,high,"The paper proposes a regularization technique (PER) to improve training and generalization of neural networks by matching activation distributions to a standard normal. There is no connection to AI safety, alignment, or frontier model concerns; it is purely a general capabilities improvement method."
