id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
RxWILaXuhb,Time-o1: Time-Series Forecasting Needs Transformed Label Alignment,3,False,,,,,,high,"The paper proposes Time-o1, a new loss function to improve time-series forecasting by transforming label sequences into decorrelated components, addressing autocorrelation and optimization challenges. The primary goal is enhancing prediction performance, with no connection to frontier AI safety, alignment, ethics, or reliability, so it belongs in Class 3 (General Capabilities)."
vMkJWaa02n,How Does Sequence Modeling Architecture Influence Base Capabilities of Pre-trained Language Models? Exploring Key Architecture Design Principles to Avoid Base Capabilities Degradation,3,False,,,,,,high,"The paper investigates how sequence modeling architectures affect the base capabilities of pre-trained language models, proposing design principles to avoid capability degradation. There is no connection to AI safety, alignment, fairness, or reliability; the focus is purely on improving performance and understanding architectural design. Thus it falls under General Capabilities."
F3DrgOZYc6,Improved Algorithms for Overlapping and Robust Clustering of Edge-Colored Hypergraphs: An LP-Based Combinatorial Approach,3,False,,,,,,high,"The paper presents algorithms for edge-colored clustering of hypergraphs, a traditional data mining task with no connection to AI safety, frontier models, or alignment. It focuses on improving computational efficiency and solution quality for clustering, which falls under general capabilities (Class 3)."
erwwuMhTJX,Cyclic Counterfactuals under Shift–Scale Interventions,3,False,,,,,,high,"The paper develops counterfactual inference methods for cyclic structural causal models under shift-scale interventions. It is a methodological contribution to causal reasoning with no mention of frontier AI systems, alignment, or safety motivation. It does not fit into ethics, truthfulness, or safety categories, so it is classified as general capabilities (Class 3)."
Ve693NkzcU,Twilight: Adaptive Attention Sparsity with Hierarchical Top-$p$  Pruning,3,False,,,,,,high,"The paper proposes a method to adaptively prune attention tokens for efficiency in long-context LLMs. The primary goal is improving speed and performance, with no mention of safety, alignment, or risk mitigation. It is a capabilities-focused contribution, clearly belonging to Class 3."
yJS1eZSNUv,Novel Exploration via Orthogonality,3,False,,,,,,high,"The paper introduces a novel exploration method for reinforcement learning using Laplacian representations. The primary goal is improving exploration efficiency, a core capabilities problem, with no explicit safety or alignment motivation. It is not about frontier AI safety, interpretability, truthfulness, or fairness."
cCefuzQrjK,A geometric framework for momentum-based optimizers for low-rank training,3,False,,,,,,high,"The paper focuses on improving optimization methods for low-rank training of neural networks, addressing convergence difficulties in the geometric landscape. There is no mention of safety, alignment, or risk, and the primary goal is enhancing training efficiency and capabilities, fitting Class 3."
RDbuSCWhad,Structured Sparse Transition Matrices to Enable State Tracking in State-Space Models,3,False,,,,,,high,"The paper proposes a structured sparse parametrization of transition matrices in state-space models to improve their ability to emulate finite-state automata while maintaining computational efficiency. The focus is purely on model expressivity and performance on state tracking and time-series classification tasks, with no mention of safety, alignment, or any safety-related motivation. Therefore, it falls under Class 3 (General Capabilities)."
5GaDcRVgBw,MASTER: Enhancing Large Language Model via Multi-Agent Simulated Teaching,3,False,,,,,,high,"The paper proposes a multi-agent data augmentation method (MASTER) to improve instruction fine-tuning and boost LLM performance on reasoning and general benchmarks. There is no mention of safety, alignment, fairness, interpretability, or any safety-relevant framing; the primary goal is enhancing model capabilities. Therefore, it belongs to Class 3 (General Capabilities)."
qJLPlZSdkb,Joint Modeling of fMRI and EEG Imaging Using Ordinary Differential Equation-Based Hypergraph Neural Networks,3,False,,,,,,high,"The paper focuses on jointly modeling fMRI and EEG brain imaging data using hypergraph neural networks with ODEs. Its goal is to improve multimodal data fusion and modeling performance, with no connection to frontier AI safety, alignment, interpretability, or risk. Therefore, it belongs to Class 3 (General Capabilities)."
geNdDlzKTG,Thinking in Character: Advancing Role-Playing Agents with Role-Aware Reasoning,3,False,,,,,,high,"The paper proposes a Role-Aware Reasoning method to improve role-playing agents' performance by addressing attention diversion and style drift. The goal is enhancing capabilities for applications like emotional companionship, without any safety or alignment motivation. Therefore, it belongs in Class 3 (General Capabilities)."
B5mEYUJi85,PubSub-VFL: Towards Efficient Two-Party Split Learning in Heterogeneous Environments via Publisher/Subscriber Architecture,1,False,,,,,,high,"The paper proposes an efficient vertical federated learning paradigm using a publisher/subscriber architecture to reduce training latency and improve resource utilization. It addresses privacy concerns through differential privacy but focuses primarily on computational efficiency and system optimization, not on frontier AI safety or alignment. Therefore, it falls under Class 1 (Ethics & Fairness) as a privacy-preserving ML technique."
DWf4vroKWJ,Router-R1: Teaching LLMs Multi-Round Routing and Aggregation via Reinforcement Learning,3,False,,,,,,high,"The paper presents a reinforcement learning framework for routing queries to multiple LLMs to improve performance and cost efficiency. The primary goal is capabilities enhancement, with no explicit safety or alignment motivation. It does not address frontier AI safety, interpretability, or reliability in a safety context, distinguishing it from Class 4 and Class 2."
KurYdcCbjv,Generalized Linear Mode Connectivity for Transformers,3,False,,,,,,high,"The paper studies linear mode connectivity and symmetries in transformer loss landscapes, focusing on understanding geometry and improving optimization and generalization. There is no connection to AI safety, alignment, ethics, or reliability, so it belongs in Class 3 (General Capabilities)."
ZUb4JpNoJe,Cost-Sensitive Freeze-thaw Bayesian Optimization for Efficient Hyperparameter Tuning,3,False,,,,,,high,"This paper focuses on improving freeze-thaw Bayesian optimization for hyperparameter tuning by introducing a cost-sensitive utility function, with no connection to AI safety, fairness, truthfulness, or frontier model alignment. It is a pure capabilities/efficiency paper, thus classified as General Capabilities (Class 3)."
JeP0lpusYw,HM3: Hierarchical Multi-Objective Model Merging for Pretrained Models,3,False,,,,,,high,"The paper presents a hierarchical multi-objective model merging framework (HM3) that combines pretrained models to enhance performance and task adaptability, with no mention of safety, alignment, or fairness. It operates in both parameter and architecture spaces using an actor-critic strategy, focusing purely on capability improvement. This clearly falls under Class 3 (General Capabilities) as its primary goal is performance optimization rather than addressing any safety or ethical concerns."
iBFfb6bGOz,Atomic Thinking of LLMs: Decoupling and Exploring Mathematical Reasoning Abilities,3,False,,,,,,high,"The paper proposes a paradigm for evaluating LLM mathematical reasoning by decomposing it into atomic capabilities, focusing on understanding model cognition to improve training strategies. It does not address safety, alignment, or frontier risks, and its primary goal is capabilities improvement rather than safety, so it belongs in Class 3."
XxRKqFsvoK,Exploring Landscapes for Better Minima along Valleys,3,False,,,,,,high,"The paper presents an optimizer adaptor that explores loss landscape valleys to find flatter, better-generalizing minima. The work is entirely focused on improving deep learning optimization and generalization, with no connection to AI safety, alignment, or frontier model risks. It belongs in Class 3 (General Capabilities) as its primary goal is enhancing performance and efficiency."
