Paper Title,Subarea,Detailed Class,Score
SAFEx: Analyzing Vulnerabilities of MoE-Based LLMs via Stable Safety-critical Expert Identification,Interpretability & Understanding,Interpretability,7.0
Reinforcement Learning with Backtracking Feedback,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Safe RLHF-V: Safe Reinforcement Learning from Multi-modal Human Feedback,Capability Control & Unlearning,Alignment Training,7.0
Reasoning Models Sometimes Output Illegible Chains of Thought,Interpretability & Understanding,Monitoring,6.0
Beyond Oracle: Verifier-Supervision for Instruction Hierarchy in Reasoning and Instruction-Tuned LLMs,Capability Control & Unlearning,Alignment Training,7.0
Transformer Key-Value Memories Are Nearly as Interpretable as Sparse Autoencoders,Interpretability & Understanding,Interpretability,3.0
SAFEPATH: Preventing Harmful Reasoning in Chain-of-Thought via Early Alignment,Capability Control & Unlearning,Alignment Training,7.0
From Dormant to Deleted: Tamper-Resistant Unlearning Through Weight-Space Regularization,Capability Control & Unlearning,Alignment Training,7.0
Towards Visualization-of-Thought Jailbreak Attack against Large Visual Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Training-Free Safe Text Embedding Guidance for Text-to-Image Diffusion Models,Threat Modeling & Evaluations,Safeguards,7.0
EVOREFUSE: Evolutionary Prompt Optimization for Evaluation and Mitigation of LLM Over-Refusal to Pseudo-Malicious Instructions,Threat Modeling & Evaluations,Safeguards,7.0
How do Transformers Learn Implicit Reasoning?,Interpretability & Understanding,Interpretability,3.0
Noise Injection Reveals Hidden Capabilities of Sandbagging Language Models,Threat Modeling & Evaluations,Scheming and Deception,7.0
Born a Transformer -- Always a Transformer? On the Effect of Pretraining on Architectural Abilities,Interpretability & Understanding,Interpretability,4.0
The Structure of Relation Decoding Linear Operators in Large Language Models,Interpretability & Understanding,Interpretability,5.0
Learning Robust Vision-Language Models from Natural Latent Spaces,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
LinEAS: End-to-end Learning of Activation Steering with a Distributional Loss,Threat Modeling & Evaluations,Safeguards,6.0
Quantifying Elicitation of Latent Capabilities in Language Models,Threat Modeling & Evaluations,Dangerous Capability Evals,3.0
AutoRedTeamer: Autonomous Red Teaming with Lifelong Attack Integration,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
