Paper Title,Subarea,Detailed Class,Score
Efficient Preference Poisoning Attack on Offline RLHF,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Should I Have Expressed a Different Intent? Counterfactual Generation for LLM-Based Autonomous Control,Interpretability & Understanding,Interpretability,4.0
Less is More: Neuroscience-Motivated Probing for Efficient Concept Circuits Tracing,Interpretability & Understanding,Interpretability,4.0
PrivGate: Steering Contextual Integrity in LLMs via Latent Space Geometry,Threat Modeling & Evaluations,Safeguards,7.0
MADA-Attack: Transferable Multi-modal Attention Distraction Adversarial Attack against Vision Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Not All Answers Are Contextually Persuadable: Inference Dynamics in Large Language Models under Contextual Influence,Interpretability & Understanding,Interpretability,3.0
Trust Functions: Near Lossless Weak-to-Strong Generalization by Learning to Trust the Weak Teacher,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Symmetry Reveals the In-Context Classifier: Transformers Implement Mean-Shift Dynamics,Interpretability & Understanding,Interpretability,4.0
Safety Anchor: Defending Harmful Fine-tuning via Geometric Bottlenecks,Capability Control & Unlearning,Alignment Training,7.0
Hair-Trigger Alignment: Black-Box Evaluation Cannot Guarantee Post-Update Alignment,Threat Modeling & Evaluations,Model Organisms,6.0
Causal Detection of Multi-Step LLM Agent Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
"Position: Breaking the Dual Curse of Multilingual AI Requires Socio-Technical Guardrails, Not Post-Hoc Alignment",Capability Control & Unlearning,Alignment Training,3.0
Position: It is Time to Virtualize Foundation Models with a Self-evolving Operating System Layer,Threat Modeling & Evaluations,Safeguards,3.0
Explanations are a Means to an End: A Value of Information Framework for Validating Explanations,Interpretability & Understanding,Interpretability,3.0
WET: Mitigating World-Conditioned Knowledge Conflicts via World Entropy Tethering,Interpretability & Understanding,Monitoring,6.0
Position: `AI Alignment' Encompasses Competing Technical Priorities,Technical Governance & Policy,Strategy and Forecasting,3.0
Do LLMs “Feel”? Emotion Circuits Discovery and Control,Interpretability & Understanding,Interpretability,4.0
The Cylindrical Representation Hypothesis for Language Model Steering,Interpretability & Understanding,Interpretability,4.0
SafeSearch: Automated Red-Teaming of LLM-Based Search Agents,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs,Interpretability & Understanding,Interpretability,4.0
Bridging the Knowledge-Prediction Gap in LLMs on Multiple-Choice Questions,Interpretability & Understanding,Interpretability,5.0
Large Vision–Language Models Get Lost in Attention,Interpretability & Understanding,Interpretability,3.0
Training with Honeypots: Reshaping How LLMs Fail,Capability Control & Unlearning,Alignment Training,7.0
Seeing to Generalize: How Visual Data Corrects Binding Shortcuts,Interpretability & Understanding,Interpretability,4.0
Position: The Age of AI Agents Demands A New Scientific Paradigm To Sustain Trustworthy Science,Technical Governance & Policy,Policy and Governance,3.0
Concept Removal for Frontier Image Generative Models,Capability Control & Unlearning,Alignment Training,7.0
Profiling the Irrational Agent: Cognitive Modeling of LLM Behaviors in Sequential Jailbreaks,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
How do LLMs Compute Verbal Confidence?,Interpretability & Understanding,Interpretability,5.0
Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,Capability Control & Unlearning,Alignment Training,7.0
"Spurious Correlation Learning in Preference Optimization: Mechanisms, Consequences, and Mitigation via Tie Training",Capability Control & Unlearning,Alignment Training,5.0
Outcome-Based Rewards Do Not Guarantee Faithful and Verifiable Reasoning,Interpretability & Understanding,Interpretability,7.0
RedVisor: Reasoning-Aware Prompt Injection Defense via Zero-Copy KV Cache Reuse,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Dynamics Reveals Structure: Challenging the Linear Propagation Assumption,Interpretability & Understanding,Interpretability,4.0
Prompt Injection as Role Confusion,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
REAR: Test-time Preference Realignment through Reward Decomposition,Capability Control & Unlearning,Alignment Training,4.0
"Less Diverse, Less Safe: The Indirect But Pervasive Risk of Test-Time Scaling in Large Language Models","Robustness, Defense & Systemic Control",Red-Teaming,7.0
Contrastive Weak-to-Strong Generalization,Scalable Oversight & Value Learning,Scalable Oversight,4.0
The Realignment Problem: When Right becomes Wrong in LLMs,Capability Control & Unlearning,Alignment Training,7.0
Weak-to-Strong Generalization via Bregman Bias–Variance Decomposition,Scalable Oversight & Value Learning,Scalable Oversight,3.0
"Expand Neurons, Not Parameters",Interpretability & Understanding,Interpretability,4.0
Towards Spectroscopy: Susceptibility Clusters in Language Models,Interpretability & Understanding,Interpretability,5.0
Dynamics Within Latent Chain-of-Thought: An Empirical Study of Causal Structure,Interpretability & Understanding,Interpretability,4.0
What Do Agents Learn from Trajectory-SFT: Semantics or Interfaces?,Interpretability & Understanding,Interpretability,6.0
Step-Level Sparse Autoencoder for Reasoning Process Interpretation,Interpretability & Understanding,Interpretability,3.0
Disentangling a Large Language Model’s Computation from its Chain-of-Thought,Interpretability & Understanding,Monitoring,5.0
Asymptotic Universal Alignment: A New Alignment Framework via Test-Time Scaling,Capability Control & Unlearning,Alignment Training,6.0
Position: Safety Must Precede the Deployment of Open-Ended AI Agents,Technical Governance & Policy,Strategy and Forecasting,3.0
Building Better Deception Probes Using Targeted Instruction Pairs,Threat Modeling & Evaluations,Scheming and Deception,5.0
Mitigating the Safety–Utility Trade-off in LLM Alignment via Adaptive Safe Context Learning,Capability Control & Unlearning,Alignment Training,6.0
Jailbreaking Vision-Language Models Through the Visual Modality,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
