id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
zaqGp90Od4y,Boost Neural Networks by Checkpoints,3,False,,,,,,high,"The paper proposes a boosting-based ensemble method for checkpoint averaging to improve accuracy and efficiency of DNNs. The goal is purely performance improvement with no connection to AI safety, alignment, or frontier model concerns. It belongs to Class 3 (General Capabilities)."
zdmF437BCB,Domain Adaptation with Invariant Representation Learning: What Transformations to Learn?,3,False,,,,,,high,"The paper addresses unsupervised domain adaptation by learning invariant representations that preserve conditional distributions, a standard transfer learning problem. There is no mention of AI safety, alignment, frontier models, or catastrophic risks, so it falls under general capabilities improvement."
z36cUrI0jKJ,On Effective Scheduling of Model-based Reinforcement Learning,3,False,,,,,,high,"The paper focuses on improving sample efficiency in model-based reinforcement learning by automatically scheduling hyperparameters. There is no mention of safety, alignment, or any frontier AI safety concerns; the goal is purely performance improvement, placing it in Class 3 (General Capabilities)."
zJynVlnoObx,Exploiting Local Convergence of Quasi-Newton Methods Globally: Adaptive Sample Size Approach,3,False,,,,,,high,"The paper focuses on improving the convergence of quasi-Newton methods for empirical risk minimization using an adaptive sample size scheme. There is no mention of AI safety, alignment, interpretability, or any safety-relevant concerns; it is purely an optimization methodology aimed at improving computational efficiency and performance, thus fitting Class 3 (General Capabilities)."
zHj5fx11jQC,Marginalised Gaussian Processes with Nested Sampling,3,False,,,,,,high,"This paper proposes nested sampling for marginalizing kernel hyperparameters in Gaussian Processes to improve prediction intervals. There is no connection to AI safety, ethics, or frontier model alignment; it is a pure methodology improvement for probabilistic regression, fitting squarely into Class 3 (General Capabilities)."
z-l1kpDXs88,TokenLearner: Adaptive Space-Time Tokenization for Videos,3,False,,,,,,high,"The paper proposes TokenLearner, an adaptive tokenization method for efficient video recognition, with no mention of safety, alignment, or ethical considerations. It focuses solely on improving performance and computational efficiency on standard video benchmarks, placing it squarely in Class 3 (General Capabilities)."
yr7nrY18Xu,Learning and Generalization in RNNs,3,False,,,,,,high,"The paper provides theoretical results on learning and generalization in RNNs, focusing on sequence learning and regular language recognition. There is no discussion of safety, alignment, interpretability, or any frontier AI safety concerns. It is purely a capabilities-oriented theoretical ML paper, fitting Class 3."
yxg-i8DAHK,Stabilizing Dynamical Systems via Policy Gradient Methods,3,False,,,,,,high,"The paper presents a model-free algorithm for stabilizing dynamical systems using policy gradient methods, focusing on control theory and reinforcement learning. There is no mention of AI safety, alignment, or frontier models, so it falls under Class 3 (General Capabilities) as its primary goal is improving control performance."
zQvxc8ul2rR,Stabilizing Deep Q-Learning with ConvNets and Vision Transformers under Data Augmentation,3,False,,,,,,high,"The paper focuses on stabilizing deep Q-learning under data augmentation for image-based RL, aiming to improve sample efficiency and generalization. There is no mention of frontier AI safety, alignment, or catastrophic risk; it is a capabilities-oriented contribution to RL training stability."
ytke6qKpxtr,STORM+: Fully Adaptive SGD with Recursive Momentum for Nonconvex Optimization,3,False,,,,,,high,"The paper proposes a new optimization algorithm (STORM+) for stochastic nonconvex optimization, focusing on convergence rates and hyperparameter-free adaptation. There is no mention of AI safety, fairness, interpretability, or reliability, so it is a pure capabilities contribution."
