Paper Title,Subarea,Detailed Class,Score
Understanding and Enhancing Safety Mechanisms of LLMs via Safety-Specific Neuron,Interpretability & Understanding,Interpretability,7.0
Causally Motivated Sycophancy Mitigation for Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
Look Before You Leap: Universal Emergent Mechanism for Retrieval in Language Models,Threat Modeling & Evaluations,Safeguards,4.0
Endless Jailbreaks with Bijection Learning,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
ProAdvPrompter: A Two-Stage Journey to Effective Adversarial Prompting for LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Neural Interactive Proofs,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Have the VLMs Lost Confidence? A Study of Sycophancy in VLMs,Capability Control & Unlearning,Alignment Training,7.0
Diverse Preference Learning for Capabilities and Alignment,Capability Control & Unlearning,Alignment Training,4.0
Semantic Loss Guided Data Efficient Supervised Fine Tuning for Safe Responses in LLMs,Capability Control & Unlearning,Alignment Training,7.0
EFFICIENT JAILBREAK ATTACK SEQUENCES ON LARGE LANGUAGE MODELS VIA MULTI-ARMED BANDIT-BASED CONTEXT SWITCHING,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
RM-Bench: Benchmarking Reward Models of Language Models with Subtlety and Style,Scalable Oversight & Value Learning,Scalable Oversight,6.0
MAP: Multi-Human-Value Alignment Palette,Capability Control & Unlearning,Alignment Training,6.0
On Calibration of LLM-based Guard Models for Reliable Content Moderation,Threat Modeling & Evaluations,Safeguards,4.0
Inspection and Control of Self-Generated-Text Recognition Ability in Llama3-8b-Instruct,Interpretability & Understanding,Interpretability,7.0
"Physics of Language Models: Part 2.1, Grade-School Math and the Hidden Reasoning Process",Interpretability & Understanding,Interpretability,3.0
HyperDAS: Towards Automating Mechanistic Interpretability with Hypernetworks,Interpretability & Understanding,Interpretability,7.0
Joint Reward and Policy Learning with Demonstrations and Human Feedback Improves Alignment,Capability Control & Unlearning,Alignment Training,4.0
Follow My Instruction and Spill the Beans: Scalable Data Extraction from Retrieval-Augmented Generation Systems,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
ICLR: In-Context Learning of Representations,Interpretability & Understanding,Interpretability,4.0
Towards Principled Evaluations of Sparse Autoencoders for Interpretability and Control,Interpretability & Understanding,Interpretability,6.0
Collab: Controlled Decoding using Mixture of Agents for LLM Alignment,Threat Modeling & Evaluations,Safeguards,7.0
Dissecting Adversarial Robustness of Multimodal LM Agents,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
DailyDilemmas: Revealing Value Preferences of LLMs with Quandaries of Daily Life,Scalable Oversight & Value Learning,Scalable Oversight,3.0
A Common Pitfall of Margin-based Language Model Alignment: Gradient Entanglement,Capability Control & Unlearning,Alignment Training,7.0
Humanizing the Machine: Proxy Attacks to Mislead LLM Detectors,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Value-Incentivized Preference Optimization: A Unified Approach to Online and Offline RLHF,Capability Control & Unlearning,Alignment Training,4.0
Efficient Automated Circuit Discovery in Transformers using Contextual Decomposition,Interpretability & Understanding,Interpretability,4.0
Estimating the Probabilities of Rare Outputs in Language Models,Threat Modeling & Evaluations,Dangerous Capability Evals,3.0
BingoGuard: LLM Content Moderation Tools with Risk Levels,Threat Modeling & Evaluations,Safeguards,6.0
Model Editing as a Robust and Denoised variant of DPO: A Case Study on Toxicity,Capability Control & Unlearning,Alignment Training,7.0
L3Ms — Lagrange Large Language Models,Capability Control & Unlearning,Alignment Training,4.0
Correlated Proxies: A New Definition and Improved Mitigation for Reward Hacking,Scalable Oversight & Value Learning,Scalable Oversight,7.0
Reward Learning from Multiple Feedback Types,Scalable Oversight & Value Learning,Scalable Oversight,4.0
"Answer, Assemble, Ace: Understanding How LMs Answer Multiple Choice Questions",Interpretability & Understanding,Interpretability,3.0
An Auditing Test to Detect Behavioral Shift in Language Models,Interpretability & Understanding,Monitoring,4.0
Eliciting Human Preferences with Language Models,Scalable Oversight & Value Learning,Scalable Oversight,3.0
BadJudge: Backdoor Vulnerabilities of LLM-As-A-Judge,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
DarkBench: Benchmarking Dark Patterns in Large Language Models,Threat Modeling & Evaluations,Dangerous Capability Evals,5.0
No Preference Left Behind: Group Distributional Preference Optimization,Capability Control & Unlearning,Alignment Training,6.0
Linear Representations of Political Perspective Emerge in Large Language Models,Interpretability & Understanding,Interpretability,4.0
ConceptPrune: Concept Editing in Diffusion Models via Skilled Neuron Pruning,Capability Control & Unlearning,Alignment Training,5.0
Differential learning kinetics govern the transition from memorization to generalization during in-context learning,Interpretability & Understanding,Interpretability,3.0
PEARL: Towards Permutation-Resilient LLMs,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Controllable Context Sensitivity and the Knob Behind It,Interpretability & Understanding,Interpretability,3.0
Large Language Models can Become Strong Self-Detoxifiers,Threat Modeling & Evaluations,Safeguards,7.0
Adversarial Perturbations Cannot Reliably Protect Artists From Generative AI,"Robustness, Defense & Systemic Control",Adversarial Robustness,3.0
The Same but Different: Structural Similarities and Differences in Multilingual Language Modeling,Interpretability & Understanding,Interpretability,3.0
Scaling Laws for Adversarial Attacks on Language Model Activations and Tokens,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Can We Trust Embodied Agents? Exploring Backdoor Attacks against Embodied LLM-Based Decision-Making Systems,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Residual Stream Analysis with Multi-Layer SAEs,Interpretability & Understanding,Interpretability,4.0
Moral Alignment for LLM Agents,Capability Control & Unlearning,Alignment Training,7.0
"Scalable Extraction of Training Data from Aligned, Production Language Models","Robustness, Defense & Systemic Control",Red-Teaming,7.0
On Targeted Manipulation and Deception when Optimizing LLMs for User Feedback,Threat Modeling & Evaluations,Scheming and Deception,6.0
Limits to scalable evaluation at the frontier: LLM as judge won’t beat twice the data,Scalable Oversight & Value Learning,Scalable Oversight,3.0
AutoDAN-Turbo: A Lifelong Agent for Strategy Self-Exploration to Jailbreak LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Iterative Nash Policy Optimization: Aligning LLMs with General Preferences via No-Regret Learning,Capability Control & Unlearning,Alignment Training,4.0
"Wasserstein Distances, Neuronal Entanglement, and Sparsity",Interpretability & Understanding,Interpretability,4.0
AdvWave: Stealthy Adversarial Jailbreak Attack against Large Audio-Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
RobustKV: Defending Large Language Models against Jailbreak Attacks via KV Eviction,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Towards Robust and Parameter-Efficient Knowledge Unlearning for LLMs,Capability Control & Unlearning,Alignment Training,6.0
Measuring Non-Adversarial Reproduction of Training Data in Large Language Models,Threat Modeling & Evaluations,Safeguards,5.0
Injecting Universal Jailbreak Backdoors into LLMs in Minutes,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Uncovering Latent Memories in Large Language Models,Interpretability & Understanding,Interpretability,5.0
LLMs Know More Than They Show: On the Intrinsic Representation of LLM Hallucinations,Interpretability & Understanding,Interpretability,3.0
"Everything, Everywhere, All at Once: Is Mechanistic Interpretability Identifiable?",Interpretability & Understanding,Interpretability,3.0
NNsight and NDIF: Democratizing Access to Open-Weight Foundation Model Internals,Interpretability & Understanding,Interpretability,5.0
Interpreting Emergent Planning in Model-Free Reinforcement Learning,Interpretability & Understanding,Interpretability,5.0
As Simple as Fine-tuning: LLM Alignment via Bidirectional Negative Feedback Loss,Capability Control & Unlearning,Alignment Training,5.0
Persistent Pre-training Poisoning of LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
Rethinking Evaluation of Sparse Autoencoders through the Representation of Polysemous Words,Interpretability & Understanding,Interpretability,4.0
On a Connection Between Imitation Learning and RLHF,Capability Control & Unlearning,Alignment Training,6.0
One Model Transfer to All: On Robust Jailbreak Prompts Generation against LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Gumbel Counterfactual Generation From Language Models,Interpretability & Understanding,Interpretability,5.0
RMB: Comprehensively benchmarking reward models in LLM alignment,Capability Control & Unlearning,Alignment Training,4.0
Magnetic Preference Optimization: Achieving Last-iterate Convergence for Language Model Alignment,Capability Control & Unlearning,Alignment Training,4.0
Differentially Private Steering for Large Language Model Alignment,Threat Modeling & Evaluations,Safeguards,5.0
Correcting the Mythos of KL-Regularization: Direct Alignment without Overoptimization via Chi-Squared Preference Optimization,Capability Control & Unlearning,Alignment Training,6.0
Durable Quantization Conditioned Misalignment Attack on Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
How Does Vision-Language Adaptation Impact the Safety of Vision Language Models?,Capability Control & Unlearning,Alignment Training,6.0
Learn Your Reference Model for Real Good Alignment,Capability Control & Unlearning,Alignment Training,5.0
UniDetox: Universal Detoxification of Large Language Models via Dataset Distillation,Capability Control & Unlearning,Alignment Training,5.0
Does Safety Training of LLMs Generalize to Semantically Related Natural Prompts?,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Weak-to-Strong Preference Optimization: Stealing Reward from Weak Aligned Model,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Beyond Mere Token Analysis: A Hypergraph Metric Space Framework for Defending Against Socially Engineered LLM Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Reinforcement Learning from Imperfect Corrective Actions and Proxy Rewards,Scalable Oversight & Value Learning,Scalable Oversight,5.0
What's New in My Data? Novelty Exploration via Contrastive Generation,Interpretability & Understanding,Interpretability,4.0
"Surgical, Cheap, and Flexible: Mitigating False Refusal in Language Models via Single Vector Ablation",Threat Modeling & Evaluations,Safeguards,5.0
Towards Robust Alignment of Language Models: Distributionally Robustifying Direct Preference Optimization,Capability Control & Unlearning,Alignment Training,3.0
AutoBencher: Towards Declarative Benchmark Construction,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Emerging Safety Attack and Defense in Federated Instruction Tuning of Large Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Iterative Label Refinement Matters More than Preference Optimization under Weak Supervision,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Bayesian WeakS-to-Strong from Text Classification to Generation,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Monet: Mixture of Monosemantic Experts for Transformers,Interpretability & Understanding,Interpretability,7.0
The Computational Complexity of Circuit Discovery for Inner Interpretability,Interpretability & Understanding,Interpretability,3.0
Sail into the Headwind: Alignment via Robust Rewards and Dynamic Labels against Reward Hacking,Scalable Oversight & Value Learning,Scalable Oversight,7.0
