Paper Title,Subarea,Detailed Class,Score
Spilling the Beans: Teaching LLMs to Self-Report Their Hidden Objectives,Capability Control & Unlearning,Alignment Training,7.0
Decomposing LLM Computation with Jets,Interpretability & Understanding,Interpretability,4.0
Why DPO is a Misspecified Estimator and How to Fix It,Capability Control & Unlearning,Alignment Training,6.0
JailNewsBench: Multi-Lingual and Regional Benchmark for Fake News Generation under Jailbreak Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Reinforcement Learning Fine-Tuning Enhances Activation Intensity and Diversity in the Internal Circuitry of LLMs,Interpretability & Understanding,Interpretability,3.0
The Hot Mess of AI: How Does Misalignment Scale With Model Intelligence and Task Complexity?,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Is On-Policy Data always the Best Choice for Direct Preference Optimization-Based LM Alignment?,Capability Control & Unlearning,Alignment Training,5.0
Steering Language Models with Weight Arithmetic,Interpretability & Understanding,Interpretability,7.0
Auto-RT: Automatic Jailbreak Strategy Exploration for Red-Teaming Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
Be Careful When Fine-tuning On Open-Source LLMs: Your Fine-tuning Data Could Be Secretly Stolen!,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
Attention Sinks and Compression Valleys in LLMs are Two Sides of the Same Coin,Interpretability & Understanding,Interpretability,3.0
Beyond Binary Preferences: A Principled Framework for Reward Modeling with Ordinal Feedback,Capability Control & Unlearning,Alignment Training,4.0
PALC: Preference Alignment via Logit Calibration,Capability Control & Unlearning,Alignment Training,6.0
SafeDPO: A Simple Approach to Direct Preference Optimization with Enhanced Safety,Capability Control & Unlearning,Alignment Training,7.0
SoSBench: Benchmarking Safety Alignment on Six Scientific Domains,Threat Modeling & Evaluations,Dangerous Capability Evals,7.0
What Do Large Language Models Know About Opinions?,Interpretability & Understanding,Interpretability,7.0
How Transformers Learn Causal Structures In-Context: Explainable Mechanism Meets Theoretical Guarantee,Interpretability & Understanding,Interpretability,3.0
Align to Misalign: Automatic LLM Jailbreak with Meta-Optimized LLM Judges,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Small Transformers Don’t Need LayerNorm at Inference Time: Scaling LayerNorm Removal to GPT-2 XL and Implications for Mechanistic Interpretability,Interpretability & Understanding,Interpretability,4.0
Steering Evaluation-Aware Language Models To Act Like They Are Deployed,Threat Modeling & Evaluations,Safeguards,7.0
Trust The Typical,Threat Modeling & Evaluations,Safeguards,6.0
Visual symbolic mechanisms: Emergent symbol processing in Vision Language Models,Interpretability & Understanding,Interpretability,4.0
Emergence of Superposition: Unveiling the Training Dynamics of Chain of Continuous Thought,Interpretability & Understanding,Interpretability,3.0
Inference-Time Personalized Safety Control via Paired Difference-in-Means Intervention,Threat Modeling & Evaluations,Safeguards,7.0
Any-Depth Alignment: Unlocking Innate Safety Alignment of LLMs to Any-Depth,Threat Modeling & Evaluations,Safeguards,7.0
Obscure but Effective: Classical Chinese Jailbreak Prompt Optimization via Bio-Inspired Search,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Generative Value Conflicts Reveal LLM Priorities,Threat Modeling & Evaluations,Safeguards,7.0
Negative Pre-activations Differentiate Syntax,Interpretability & Understanding,Interpretability,3.0
Internal Planning in Language Models: Characterizing Horizon and Branch Awareness,Interpretability & Understanding,Interpretability,4.0
How Dark Patterns Manipulate Web Agents,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
VLSU: Mapping the Limits of Joint Multimodal Understanding for AI Safety,Threat Modeling & Evaluations,Safeguards,7.0
Markovian Transformers for Informative Language Modeling,Interpretability & Understanding,Interpretability,7.0
RedTeamCUA: Realistic Adversarial Testing of Computer-Use Agents in Hybrid Web-OS Environments,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
MICLIP: Learning to Interpret Representation in Vision Models,Interpretability & Understanding,Interpretability,5.0
Auditing Black-Box LLM APIs with a Rank-Based Uniformity Test,Threat Modeling & Evaluations,Safeguards,7.0
Learning multimodal dictionary decompositions with group-sparse autoencoders,Interpretability & Understanding,Interpretability,4.0
Strategic Obfuscation of Deceptive Reasoning in Language Models,Threat Modeling & Evaluations,Scheming and Deception,7.0
Towards Cognitively-Faithful Decision-Making Models to Improve AI Alignment,Scalable Oversight & Value Learning,Scalable Oversight,3.0
