Paper Title,Subarea,Detailed Class,Score
What Makes and Breaks Safety Fine-tuning? A Mechanistic Study,Interpretability & Understanding,Interpretability,6.0
Refusal in Language Models Is Mediated by a Single Direction,Interpretability & Understanding,Interpretability,7.0
ProTransformer: Robustify Transformers via Plug-and-Play Paradigm,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Time-Reversal Provides Unsupervised Feedback to LLMs,Threat Modeling & Evaluations,Safeguards,4.0
Measuring Progress in Dictionary Learning for Language Model Interpretability with Board Game Models,Interpretability & Understanding,Interpretability,6.0
Unelicitable Backdoors via Cryptographic Transformer Circuits,Threat Modeling & Evaluations,Model Organisms,7.0
Explanations that reveal all through the deﬁnition of encoding,Interpretability & Understanding,Interpretability,3.0
LLM Circuit Analyses Are Consistent Across Training and Scale,Interpretability & Understanding,Interpretability,6.0
Regularizing Hidden States Enables Learning Generalizable Reward Model for LLMs,Capability Control & Unlearning,Alignment Training,3.0
Who's asking? User personas and the mechanics of latent misalignment,Interpretability & Understanding,Interpretability,7.0
Keeping LLMs Aligned After Fine-tuning: The Crucial Role of Prompt Templates,Capability Control & Unlearning,Alignment Training,7.0
SleeperNets: Universal Backdoor Poisoning Attacks Against  Reinforcement Learning Agents,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Enhancing Robustness in Deep Reinforcement Learning: A Lyapunov Exponent Approach,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
Boosting Alignment for Post-Unlearning Text-to-Image Generative Models,Capability Control & Unlearning,Alignment Training,5.0
Stealth edits to large language models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Carrot and Stick: Eliciting Comparison Data and Beyond,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Adversarially Robust Multi-task Representation Learning,"Robustness, Defense & Systemic Control",Adversarial Robustness,3.0
Improving Context-Aware Preference Modeling for Language Models,Capability Control & Unlearning,Alignment Training,5.0
SafeWorld: Geo-Diverse Safety Alignment,Capability Control & Unlearning,Alignment Training,5.0
Where does In-context Learning Happen in Large Language Models?,Interpretability & Understanding,Interpretability,4.0
Understanding Hallucinations in Diffusion Models through Mode Interpolation,Threat Modeling & Evaluations,Safeguards,6.0
Learning Human-like Representations to Enable Learning Human Values,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Interpreting CLIP with Sparse Linear Concept Embeddings (SpLiCE),Interpretability & Understanding,Interpretability,3.0
Evaluating the World Model Implicit in a Generative Model,Interpretability & Understanding,Interpretability,4.0
DarkSAM: Fooling Segment Anything Model to Segment Nothing,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
LT-Defense: Searching-free Backdoor Defense via Exploiting the Long-tailed Effect,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Analysing the Generalisation and Reliability of Steering Vectors,Interpretability & Understanding,Interpretability,4.0
Transcoders find interpretable LLM feature circuits,Interpretability & Understanding,Interpretability,7.0
Injecting Undetectable Backdoors in Obfuscated Neural Networks and Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
ContextCite: Attributing Model Generation to Context,Interpretability & Understanding,Interpretability,4.0
InversionView: A General-Purpose Method for Reading Information from Neural Activations,Interpretability & Understanding,Interpretability,6.0
How Diffusion Models Learn to Factorize and Compose,Interpretability & Understanding,Interpretability,4.0
Navigating the Safety Landscape: Measuring Risks in Finetuning Large Language Models,Interpretability & Understanding,Interpretability,7.0
Grokking of Implicit Reasoning in Transformers: A Mechanistic Journey to the Edge of Generalization,Interpretability & Understanding,Interpretability,4.0
Abrupt Learning in Transformers: A Case Study on Matrix Completion,Interpretability & Understanding,Interpretability,3.0
Identifying Functionally Important Features with End-to-End Sparse Dictionary Learning,Interpretability & Understanding,Interpretability,6.0
Fight Back Against Jailbreaking via Prompt Adversarial Tuning,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Erasing Undesirable Concepts in Diffusion Models with Adversarial Preservation,Capability Control & Unlearning,Alignment Training,7.0
Do LLMs Build World Representations? Probing Through the Lens of State Abstraction,Interpretability & Understanding,Interpretability,3.0
Exploiting LLM Quantization,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Talking Heads: Understanding Inter-Layer Communication in Transformer Language Models,Interpretability & Understanding,Interpretability,4.0
Towards Safe Concept Transfer of Multi-Modal Diffusion via Causal Representation Editing,Threat Modeling & Evaluations,Safeguards,7.0
Aligner: Efficient Alignment by Learning to Correct,Capability Control & Unlearning,Alignment Training,4.0
Optimistic Verifiable Training by Controlling Hardware Nondeterminism,Threat Modeling & Evaluations,Control,7.0
Toxicity Detection for Free,Threat Modeling & Evaluations,Safeguards,4.0
AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
CoSy: Evaluating Textual Explanations of Neurons,Interpretability & Understanding,Interpretability,5.0
Improving Alignment and Robustness with Circuit Breakers,Threat Modeling & Evaluations,Safeguards,7.0
LLM Evaluators Recognize and Favor Their Own Generations,Scalable Oversight & Value Learning,Scalable Oversight,6.0
Query-Based Adversarial Prompt Generation,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Leveraging Catastrophic Forgetting to Develop Safe Diffusion Models against Malicious Finetuning,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
BackdoorAlign: Mitigating Fine-tuning based Jailbreak Attack with Backdoor Enhanced Safety Alignment,Threat Modeling & Evaluations,Safeguards,7.0
Accelerating Greedy Coordinate Gradient and General Prompt Optimization via Probe Sampling,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Simplifying Constraint Inference with Inverse Reinforcement Learning,Capability Control & Unlearning,Alignment Training,4.0
Improved Generation of Adversarial Examples Against Safety-aligned LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Shadowcast: Stealthy Data Poisoning Attacks Against Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
The Representation Landscape of Few-Shot Learning and Fine-Tuning in Large Language Models,Interpretability & Understanding,Interpretability,4.0
A theoretical case-study of Scalable Oversight in Hierarchical Reinforcement Learning,Scalable Oversight & Value Learning,Scalable Oversight,4.0
Aligning Large Language Models with Representation Editing: A Control Perspective,Threat Modeling & Evaluations,Control,7.0
WAGLE: Strategic Weight Attribution for Effective and Modular Unlearning in Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
INDICT: Code Generation with Internal Dialogues of Critiques for Both Security and Helpfulness,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
Watch Out for Your Agents! Investigating Backdoor Threats to LLM-Based Agents,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Rule Based Rewards for Language Model Safety,Capability Control & Unlearning,Alignment Training,7.0
Catastrophic Goodhart: regularizing RLHF with KL divergence does not mitigate heavy-tailed reward misspecification,Scalable Oversight & Value Learning,Scalable Oversight,4.0
Large Language Model Unlearning via Embedding-Corrupted Prompts,Capability Control & Unlearning,Alignment Training,7.0
Hypothesis Testing the Circuit Hypothesis in LLMs,Interpretability & Understanding,Interpretability,3.0
Personalizing Reinforcement Learning from Human Feedback with Variational Preference Learning,Capability Control & Unlearning,Alignment Training,7.0
Efficient Adversarial Training in LLMs with Continuous Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Reciprocal Reward Influence Encourages Cooperation From Self-Interested Agents,Scalable Oversight & Value Learning,Multi-Agent Safety,5.0
Enhancing Efficiency of Safe Reinforcement Learning via Sample Manipulation,Capability Control & Unlearning,Alignment Training,7.0
Robust Prompt Optimization for Defending Language Models Against Jailbreaking Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
LoFiT: Localized Fine-tuning on LLM Representations,Interpretability & Understanding,Interpretability,4.0
One-Shot Safety Alignment for Large Language Models via Optimal Dualization,Capability Control & Unlearning,Alignment Training,6.0
Compact Proofs of Model Performance via Mechanistic Interpretability,Interpretability & Understanding,Interpretability,3.0
